time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.531,-1.9355,-0,-0,-0.019355,-0,-0,1
0.532,-1.9971,-0,-0,-0.019971,-0,-0,1
0.533,-2.0586,-0,-0,-0.020586,-0,-0,1
0.534,-2.1201,-0,-0,-0.021201,-0,-0,1
0.535,-2.1814,-0,-0,-0.021814,-0,-0,1
0.536,-2.2427,-0,-0,-0.022427,-0,-0,1
0.537,-2.3039,-0,-0,-0.023039,-0,-0,1
0.538,-2.365,-0,-0,-0.02365,-0,-0,1
0.539,-2.426,-0,-0,-0.02426,-0,-0,1
0.54,-2.4869,-0,-0,-0.024869,-0,-0,1
0.541,-2.5477,-0,-0,-0.025477,-0,-0,1
0.542,-2.6084,-0,-0,-0.026084,-0,-0,1
0.543,-2.669,-0,-0,-0.02669,-0,-0,1
0.544,-2.7295,-0,-0,-0.027295,-0,-0,1
0.545,-2.7899,-0,-0,-0.027899,-0,-0,1
0.546,-2.8502,-0,-0,-0.028502,-0,-0,1
0.547,-2.9104,-0,-0,-0.029104,-0,-0,1
0.548,-2.9704,-0,-0,-0.029704,-0,-0,1
0.549,-3.0304,-0,-0,-0.030304,-0,-0,1
0.55,-3.0902,-0,-0,-0.030902,-0,-0,1
0.551,-3.1499,-0,-0,-0.031499,-0,-0,1
0.552,-3.2094,-0,-0,-0.032094,-0,-0,1
0.553,-3.2689,-0,-0,-0.032689,-0,-0,1
0.554,-3.3282,-0,-0,-0.033282,-0,-0,1
0.555,-3.3874,-0,-0,-0.033874,-0,-0,1
0.556,-3.4464,-0,-0,-0.034464,-0,-0,1
0.557,-3.5053,-0,-0,-0.035053,-0,-0,1
0.558,-3.5641,-0,-0,-0.035641,-0,-0,1
0.559,-3.6228,-0,-0,-0.036228,-0,-0,1
0.56,-3.6812,-0,-0,-0.036812,-0,-0,1
0.561,-3.7396,-0,-0,-0.037396,-0,-0,1
